id,country,countryCode,region,regionCode,province,municipality,brgy,zipCode
1,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,AGTANGAO,2800
2,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,ANGAD,2800
3,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,BANGBANGAR,2800
4,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,BA?CAO,2800
5,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,CABULOAN,2800
6,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,CALABA,2800
7,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,COSILI EAST,2800
8,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,COSILI WEST,2800
9,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,DANGDANGLA,2800
10,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,LINGTAN,2800
11,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,LIPCAN,2800
12,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,LUBONG,2800
13,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,MACARCARMAY,2800
14,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,MACRAY,2800
15,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,MALITA,2800
16,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,MAOAY,2800
17,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,PALAO,2800
18,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,PATUCANNAY,2800
19,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,SAGAP,2800
20,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,SAN ANTONIO,2800
21,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BANGUED,SANTA ROSA,2800
